_id,report_date,previous_day_total_doses_administered,previous_day_at_least_one,previous_day_fully_vaccinated,previous_day_3doses,total_doses_administered,total_individuals_at_least_one,total_individuals_partially_vaccinated,total_doses_in_fully_vaccinated_individuals,total_individuals_fully_vaccinated,total_individuals_3doses
1,2021-01-01T00:00:00,6254,6244,2,,32253,32197,32186,22,11,
2,2021-01-02T00:00:00,4618,4606,6,,36871,36751,36738,26,13,
3,2021-01-03T00:00:00,5397,5389,4,,42268,42138,42123,30,15,
4,2021-01-04T00:00:00,5998,5995,0,,48266,48132,48118,28,14,
5,2021-01-05T00:00:00,9691,9666,21,,57957,57796,57762,68,34,
6,2021-01-06T00:00:00,12800,12334,451,,70757,70127,69645,964,482,
7,2021-01-07T00:00:00,16229,15516,699,,86986,85642,84461,2362,1181,
8,2021-01-08T00:00:00,18045,17028,1004,,105031,102670,100485,4370,2185,
9,2021-01-09T00:00:00,19514,18434,1067,,124545,121102,117851,6502,3251,
10,2021-01-10T00:00:00,11376,11334,40,,135921,132427,129137,6580,3290,
11,2021-01-11T00:00:00,11716,11664,49,,147637,144090,140751,6678,3339,
12,2021-01-12T00:00:00,14483,14174,301,,162120,158255,154616,7278,3639,
13,2021-01-13T00:00:00,15447,13820,1597,,177567,172061,166827,10468,5234,
14,2021-01-14T00:00:00,19201,16747,2438,,196768,188802,181131,15342,7671,
15,2021-01-15T00:00:00,20089,18031,2038,,216857,206822,197113,19418,9709,
16,2021-01-16T00:00:00,17124,15939,1172,,233981,222745,211864,21762,10881,
17,2021-01-17T00:00:00,11272,10028,1237,,245253,232758,220642,24232,12116,
18,2021-01-18T00:00:00,6803,6719,74,,252056,239453,227267,24372,12186,
19,2021-01-19T00:00:00,11839,9729,2096,,263895,249161,234879,28564,14282,
20,2021-01-20T00:00:00,10817,7227,3573,,274712,256365,238511,35708,17854,
21,2021-01-21T00:00:00,10984,6861,4095,,285696,263210,241261,43898,21949,
22,2021-01-22T00:00:00,9050,4331,4699,,294746,267504,240858,53292,26646,
23,2021-01-23T00:00:00,7480,3061,4391,,302226,270535,239499,62072,31036,
24,2021-01-24T00:00:00,4401,1839,2541,,306627,272356,238779,67154,33577,
25,2021-01-25T00:00:00,5332,1056,4267,,311959,273380,235537,75686,37843,
26,2021-01-26T00:00:00,9411,2879,6503,,321370,276227,231882,88690,44345,
27,2021-01-27T00:00:00,9907,2869,7009,,331277,279067,227714,102706,51353,
28,2021-01-28T00:00:00,13143,5760,7339,,344420,284794,226102,117384,58692,
29,2021-01-29T00:00:00,10731,3315,7379,,355151,288078,222008,132140,66070,
30,2021-01-30T00:00:00,9214,2747,6428,,364365,290782,218288,144988,72494,
31,2021-01-31T00:00:00,3393,1576,1770,,367758,292324,218061,148526,74263,
32,2021-02-01T00:00:00,2133,494,1611,,369891,292783,216914,151738,75869,
33,2021-02-02T00:00:00,4431,1376,2997,,374322,294121,215259,157724,78862,
34,2021-02-03T00:00:00,6261,1738,4460,,380583,295818,212503,166630,83315,
35,2021-02-04T00:00:00,9110,1734,7295,,389693,297509,206905,181208,90604,
36,2021-02-05T00:00:00,8470,1486,6905,,398163,298955,201452,195006,97503,
37,2021-02-06T00:00:00,10681,1881,8739,,408844,300781,194548,212466,106233,
38,2021-02-07T00:00:00,7588,1736,5797,,416432,302477,190459,224036,112018,
39,2021-02-08T00:00:00,8231,3099,5083,,424663,305528,188440,234176,117088,
40,2021-02-09T00:00:00,15028,3872,11087,,439691,309358,181199,256318,128159,
41,2021-02-10T00:00:00,15530,4947,10521,,455221,314253,175598,277310,138655,
42,2021-02-11T00:00:00,16376,3905,12412,,471597,318106,167070,302072,151036,
43,2021-02-12T00:00:00,17698,2113,15530,,489295,320180,153634,333092,166546,
44,2021-02-13T00:00:00,16224,2451,13755,,505519,322586,142304,360564,180282,
45,2021-02-14T00:00:00,12892,929,11929,,518411,323467,131286,384362,192181,
46,2021-02-15T00:00:00,7870,487,7332,,526281,323906,124419,398974,199487,
47,2021-02-16T00:00:00,6009,1048,4906,,532290,324911,120541,408740,204370,
48,2021-02-17T00:00:00,10179,1615,8530,,542469,326482,113610,425744,212872,
49,2021-02-18T00:00:00,13894,2970,10875,,556363,329404,105687,447434,223717,
50,2021-02-19T00:00:00,18505,6219,12215,,574868,335571,99670,471802,235901,
51,2021-02-20T00:00:00,22640,11139,11448,,597508,346647,99336,494622,247311,
52,2021-02-21T00:00:00,17253,10391,6828,,614761,356978,102881,508194,254097,
53,2021-02-22T00:00:00,13596,8762,4778,,628357,365671,106845,517652,258826,
54,2021-02-23T00:00:00,17886,11134,6679,,646243,376749,111280,530938,265469,
55,2021-02-24T00:00:00,18599,13628,4887,,664842,390321,120007,540628,270314,
56,2021-02-25T00:00:00,20823,16494,4270,,685665,406749,132213,549072,274536,
57,2021-02-26T00:00:00,24939,21852,3024,,710604,428541,151018,555046,277523,
58,2021-02-27T00:00:00,27488,23595,3849,,738092,452072,170748,562648,281324,
59,2021-02-28T00:00:00,20599,19155,1409,,758691,471173,188482,565382,282691,
60,2021-03-01T00:00:00,18237,17040,1148,,776928,488151,204359,567584,283792,
61,2021-03-02T00:00:00,24716,22294,2334,,801644,510384,224304,572160,286080,
62,2021-03-03T00:00:00,30630,27988,2584,,832274,538321,249690,577262,288631,
63,2021-03-04T00:00:00,34734,32488,2157,,867008,570743,280005,581476,290738,
64,2021-03-05T00:00:00,40051,38199,1800,,907059,608894,316390,585008,292504,
65,2021-03-06T00:00:00,44200,41982,2177,,951259,650821,356181,589280,294640,
66,2021-03-07T00:00:00,32758,31571,1181,,984017,682318,386555,591526,295763,
67,2021-03-08T00:00:00,24055,22179,1863,,1008072,704429,406857,595144,297572,
68,2021-03-09T00:00:00,33333,29878,3427,,1041405,734241,433288,601906,300953,
69,2021-03-10T00:00:00,38387,34119,4221,,1079792,768286,463160,610252,305126,
70,2021-03-11T00:00:00,44022,40744,3239,,1123814,808964,500651,616626,308313,
